,name,specilities,affiliation
1552,"Evan James Blaney, MD",Anesthesiology,Brigham and Women's Hospital
1553,"Jie Cui, MD","Internal Medicine, Nephrology",Brigham and Women's HospitalMassachusetts General Hospital
1554,"Yahya A Argobi, MBBS",Dermatology,Massachusetts General Hospital
1555,"Garth Rees Cosgrove, MD",Neurosurgery,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1556,"Lauren Janis Cornella, MD",Anesthesiology,Brigham and Women's Hospital
1557,"Joanna J Conte, MD",Diagnostic Radiology,North Shore Medical CenterPCPO - Pentucket Medical Associates
1558,"Catherine S Choi, MD",Ophthalmology,Newton-Wellesley Hospital
1559,"Anthony R Berner, MD",Emergency Medicine,Newton-Wellesley Hospital
1560,"Dominick Garibaldi, DPM",Podiatry,PCPO - Other Practices
1561,"Grace Huang, MD","Endocrinology, Internal Medicine",Brigham and Women's Hospital
1562,"Rafael Vazquez, MD",Anesthesiology,Massachusetts General Hospital
1563,"Adam Stuart Kibel, MD","General Surgery, Urology",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1564,"Janet M. Witte, MD, MPH",Psychiatry,Massachusetts General Hospital
1565,"Rachel E. Pearson, MD","Psychiatry:, Child and Adolescent Psychiatry",Massachusetts General Hospital
1566,"Anne S Lee, MD, MPH",Neonatology,Brigham and Women's Hospital
1567,"Kristin A Cox, MD",Internal Medicine,Newton-Wellesley Hospital
1568,"Helen M Shields, MD",Gastroenterology,Brigham and Women's Hospital
1569,"Mark Tuler, DPM",Podiatry,Newton-Wellesley Hospital
1570,"Priscilla K. Brastianos, MD","Hematology, Medical Oncology",Massachusetts General Hospital
1571,"Aldona D Finkle, MD",Endocrinology,PCPO - Emerson Physician Hospital Organization
1572,"Karen J. Krag, MD","Hematology, Medical Oncology",Massachusetts General Hospital
1573,"Peter C Hou, MD",Emergency Medicine,Brigham and Women's Hospital
1574,"Martin Iser, MD",Internal Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1575,"Pradeep Kumar, MD",Cardiology,PCPO - Milford Regional Physician Group
1576,"Santiago A. Lozano Calderon, MD, PhD",Orthopedic Surgery,Massachusetts General Hospital
1577,"Zeina S. Tannous, MD","Dermatology, Dermatopathology",Massachusetts General Hospital
1578,"Erin X Wei, MD",Dermatology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1579,"David J. Lesnik, MD",Otolaryngology,Massachusetts General Hospital
1580,"Daniel Patrick Ryan, MD",Pediatric General Surgery,Massachusetts General Hospital
1581,"Joseph Ahn, MD",Psychiatry,Massachusetts General Hospital
1582,"Marissa D Wasserman, MD",Anesthesiology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1583,"Justin M. Brown, MD",Neurosurgery,Massachusetts General Hospital
1584,"Elizabeth A Mullen, MD","Pediatric Hematology, Pediatric Medical Oncology, Pediatrics",Brigham and Women's Hospital
1585,"Denise M Adams, MD","Pediatric Hematology, Pediatric Medical Oncology",Brigham and Women's Hospital
1586,"Anthony J Guidi, MD","Anatomic Pathology, Clinical and Laboratory Pathology, Pathology",Brigham and Women's HospitalMassachusetts General HospitalNewton-Wellesley HospitalNorth Shore Medical Center
1587,"Neil B. Redlener, MD",Psychiatry,Massachusetts General Hospital
1588,"Steven Lawrence McAfee, MD","Hematology, Medical Oncology",Massachusetts General Hospital
1589,"Laura C. McCullough, MD","Neonatology, Pediatrics",Massachusetts General Hospital
1590,"Monica S. Lee, MD",Otolaryngology,Massachusetts General Hospital
1591,"Benjamin S. Bleier, MD",Otolaryngology,Massachusetts General Hospital
1592,"Marc R Laufer, MD",Obstetrics & Gynecology,Brigham and Women's Hospital
1593,"Anthony LoMonaco, DO",Pain Medicine,North Shore Medical Center
1594,"Stacy E Croteau, MD","Neonatology, Pediatric Hematology, Pediatric Medical Oncology, Pediatrics",Brigham and Women's Hospital
1595,"Neil D Ghushe, MD","Colon and Rectal Surgery, General Surgery",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1596,"Daniel Hal Solomon, MD, MPH",Rheumatology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1597,"Marcela G. del Carmen, MD",Gynecologic Oncology,Massachusetts General Hospital
1598,"Sheila Provencher Abdallah, MD",Family Medicine,North Shore Medical Center
1599,"Kimmie Ng, MD",Medical Oncology,Brigham and Women's Hospital
1600,"Shasta A. Kielbasa, MD","Internal Medicine, Pediatrics",Cooley Dickinson Hospital
1601,"Elizabeth C McQuaid, MD",Pediatrics,PCPO - Affiliated Pediatric Practices
1602,"Kate M. Cohen, MD",Anesthesiology,Massachusetts General Hospital
1603,"Annette E Scheid, MD",Neonatology,Brigham and Women's HospitalNewton-Wellesley Hospital
1604,"Jane G Schweitzer, MD",Ophthalmology,Massachusetts General Hospital
1605,"Harwood S. Egan, MD",Pediatrics,Massachusetts General Hospital
1606,"Jin B Chae, MD",Internal Medicine,Massachusetts General Hospital
1607,"Michael H. Fattal, MD",Otolaryngology,Massachusetts General Hospital
1608,"David Scott Greenstein, MD",Dermatology,North Shore Medical Center
1609,"Irfanullah Haider, MD",Diagnostic Radiology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1610,"Alice Whittier Newton, MD",Pediatrics,Massachusetts General Hospital
1611,"Kurtus A Dafford, MD",Neurosurgery,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1612,"Luis F Lobon, MD, MS",Emergency Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1613,"Alan E Geller, MD",Neurology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1614,"Miriam Baron Barshak, MD",Infectious Diseases,Massachusetts General Hospital
1615,"Joseph J Miaskiewicz, MD","Internal Medicine, Pulmonology",North Shore Medical Center
1616,"Nancy D. Kim, MD",Rheumatology,Massachusetts General Hospital
1617,"Caryn Ruth Dutton, MD",Obstetrics & Gynecology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1618,"David J. Fogelman, MD",Physical Medicine and Rehab,Massachusetts General Hospital
1619,"Mauricio A. Villavicencio-Theoduloz, MD",Cardiac Surgery,Massachusetts General Hospital
1620,"Allan Ira Hoffman, MD","Diagnostic Radiology, Vascular Interventional Radiology",North Shore Medical CenterPCPO - Pentucket Medical Associates
1621,"Seth D. Herman, MD",Physical Medicine and Rehab,Massachusetts General HospitalSpaulding Rehabilitation Network
1622,"Yakir S. Levin, MD, PhD",Dermatology,Massachusetts General Hospital
1623,"Pablo Gomery, MD",Urology,Massachusetts General Hospital
1624,"Michael George Muto, MD","Gynecologic Medical Oncology, Gynecologic Oncology",Brigham and Women's HospitalPCPO - Emerson Physician Hospital Organization
1625,"Eric K Tjonahen, MD",Pediatrics,PCPO - Affiliated Pediatric Practices
1626,"Jorge Julio Castillo, MD","Hematology, Medical Oncology",Brigham and Women's Hospital
1627,"Li-Wei Lin, MD",Ophthalmology,PCPO - Emerson Physician Hospital Organization
1628,"Aaron L. Baggish, MD",Cardiology,Massachusetts General Hospital
1629,"Richard A. Johnson, MD","Dermatology, Infectious Diseases",Massachusetts General Hospital
1630,"Nancy Ann Rigotti, MD",Internal Medicine,Massachusetts General Hospital
1631,"Kerry A Hensley, MD",Internal Medicine,North Shore Medical Center
1632,"Peter Muz, MD",Dermatology,PCPO - Emerson Physician Hospital Organization
1633,"Bradley M Wertheim, MD","Pulmonary Critical Care, Pulmonology",Brigham and Women's HospitalNewton-Wellesley Hospital
1634,"Ryan M Alexander, DO",Diagnostic Radiology,Brigham and Women's HospitalMassachusetts General Hospital
1635,"Mahmut E. Gurol, MD",Neurology,Massachusetts General Hospital
1636,"James Andreson, MD",Gastroenterology,PCPO - Emerson Physician Hospital Organization
1637,"David G Munson, MD",Internal Medicine,Massachusetts General Hospital
1638,"Nancy E. Kaddis, MD",Internal Medicine,Massachusetts General HospitalSpaulding Rehabilitation Network
1639,"Bruce Allan Chabner, MD",Medical Oncology,Massachusetts General Hospital
1640,"Rinaa S Punglia, MD",Radiation Oncology,Brigham and Women's Hospital
1641,"Ashwini Nadkarni, MD",Psychiatry,Brigham and Women's Hospital
1642,"Timothy J Ernst, MD","Hematology, Medical Oncology",PCPO - Charles River Medical Associates
1643,"Julie M. Stanton, MD",Family Medicine,Cooley Dickinson Hospital
1644,"Sarah Page Hammond, MD",Infectious Diseases,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1645,"Kristin M Laraja, MD",Pediatric Cardiology,PCPO - Milford Regional Physician Group
1646,"Amanda V Mclain, MD",Internal Medicine,PCPO - Emerson Physician Hospital Organization
1647,"Robert Jason Yong, MD, MBA","Anesthesiology, Pain Medicine",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1648,"Allison L. McDonough, MD",Internal Medicine,Massachusetts General Hospital
1649,"Eugene Jura, MD",Pediatrics,Cooley Dickinson Hospital
1650,"Robert Coleman Lindsley, MD, PhD",Medical Oncology,Brigham and Women's Hospital
1651,"Heidi Katz-Dubois, MD",Pediatrics,PCPO - Affiliated Pediatric Practices
1652,"Elizabeth A Dougherty, MD","Internal Medicine, Pediatrics",North Shore Medical Center
1653,"Sonia Friedman, MD",Gastroenterology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1654,"Mohammed Asmal, MD, PhD",Infectious Diseases,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1655,"Laura J Simpson, MD",Family Medicine,North Shore Medical Center
1656,"Nisrine I Atieh, MD",Neonatology,Brigham and Women's Hospital
1657,"Jannet J Ung, MD",Ophthalmology,North Shore Medical Center
1658,"Philippe Armand, MD, PhD","Hematology, Medical Oncology",Brigham and Women's Hospital
1659,"Jennifer L. Schott, MD",Pediatrics,Cooley Dickinson Hospital
1660,"Linda A Tordoff, MD",Neonatology,Brigham and Women's Hospital
1661,"Alexander Spektor, MD, PhD",Radiation Oncology,Brigham and Women's Hospital
1662,"Timothy Edwin Wilens, MD","Psychiatry:, Child and Adolescent Psychiatry",Massachusetts General Hospital
1663,"Sharon H Chou, MD","Endocrinology, Internal Medicine",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1664,"Aaron N Hata, MD, PhD",Medical Oncology,Massachusetts General Hospital
1665,"Gerasimos D. Zervos, MD",Cardiology,Massachusetts General Hospital
1666,"Amy B. Schoenbaum, MD",Internal Medicine,Massachusetts General Hospital
1667,"Alice Marie Sheridan, MD",Nephrology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1668,"Jacob L Taylor, MD",Psychiatry,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1669,"Allan H Ropper, MD",Neurology,Brigham and Women's Hospital
1670,"Katherine T. Johnston, MD",Internal Medicine,Massachusetts General Hospital
1671,"Anica C Law, MD","Critical Care Medicine, Internal Medicine, Pulmonary Critical Care, Pulmonology",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1672,"Carl D. Marci, MD",Psychiatry,Massachusetts General Hospital
1673,"Daniel J Hu, MD","Ophthalmology:, Cornea and External Disease",Massachusetts General Hospital
1674,"Alaka Ray, MD",Internal Medicine,Massachusetts General Hospital
1675,"Rasha F Al-Bawardy, MD",Cardiology,Massachusetts General HospitalNorth Shore Medical Center
1676,"Sarah S Hudgens, MD",Internal Medicine,PCPO - Emerson Physician Hospital Organization
1677,"Kathleen Gail Ware, MD",Pediatrics,PCPO - Affiliated Pediatric Practices
1678,"Julianna Schantz-Dunn, MD",Obstetrics & Gynecology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1679,"Nancy J. Tarbell, MD","Diagnostic Radiology, Radiation Oncology",Massachusetts General Hospital
1680,"Mark E. Lindsay, MD, PhD",Pediatric Cardiology,Massachusetts General Hospital
1681,"Jennifer Setlur, MD",Otolaryngology,Massachusetts General Hospital
1682,"Corinne E Sadoski, MD",Diagnostic Radiology,PCPO - Emerson Physician Hospital Organization
1683,"Jeffrey A Oringer, MD",Gastroenterology,North Shore Medical Center
1684,"Arun Mukherjee, MD",Internal Medicine,Newton-Wellesley Hospital
1685,"David J Carlson, MD","Internal Medicine, Pediatrics",PCPO - Milford Regional Physician Group
1686,"Ivan Lesyuk, MD",Anesthesiology,PCPO - Emerson Physician Hospital Organization
1687,"Thanh U Barbie, MD","Breast Surgery, General Surgery, Surgical Oncology",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1688,"Emilie A Tack, DO",Obstetrics & Gynecology,Newton-Wellesley Hospital
1689,"Andrew L Lundquist, MD, PhD",Nephrology,Massachusetts General HospitalNewton-Wellesley Hospital
1690,"Mary Jane Dinneen, MD",Emergency Medicine,Cooley Dickinson Hospital
1691,"Stephanie L Nitzschke, MD","General Surgery, Surgical Critical Care, Trauma Surgery",Brigham and Women's Hospital
1692,"I-Cheng Ho, MD, PhD",Rheumatology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1693,"Joseph T Ferrucci, MD",Diagnostic Radiology,Newton-Wellesley Hospital
1694,"Emery N. Brown, MD, PhD",Anesthesiology,Massachusetts General Hospital
1695,"Jeffrey Robert Zack, MD",Emergency Medicine,Martha's Vineyard Hospital
1696,"Howard Ira Levy, MD",Psychiatry,Brigham and Women's Hospital
1697,"Mark A. Bigda, DO",Internal Medicine,Cooley Dickinson Hospital
1698,"Mark Phillippe, MD",Obstetrics & Gynecology,Massachusetts General Hospital
1699,"Asif A Merchant, MD","Geriatric Medicine, Hospice and Palliative Care",Newton-Wellesley Hospital
1700,"Mark C Acker, MD",Pediatrics,PCPO - Affiliated Pediatric Practices
1701,"Jason Edward Mondale, MD","Psychiatry:, Geriatric Psychiatry",North Shore Medical Center
1702,"Terry J Garfinkle, MD, MBA",Otolaryngology,Massachusetts General Hospital
1703,"Rex C Pajela, MD",Neonatology,Brigham and Women's Hospital
1704,"Renee M. Sorrentino, MD",Psychiatry,Massachusetts General Hospital
1705,"Andree A Haas, MD",Dermatology,PCPO - Other Practices
1706,"Chana A. Sacks, MD",Internal Medicine,Massachusetts General Hospital
1707,"Mustafa Khaled Mustafa, MD",Internal Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1708,"Ottavio V. Vitolo, MD",Psychiatry,Massachusetts General Hospital
1709,"Joseph Frank Simeone, MD",Diagnostic Radiology,Massachusetts General Hospital
1710,"Joseph James Rhatigan, MD",Internal Medicine,Brigham and Women's HospitalNewton-Wellesley Hospital
1711,"Jean E. Klig, MD",Pediatric Emergency Medicine,Massachusetts General Hospital
1712,"Kristin J Hung, MD",Obstetrics & Gynecology,Massachusetts General Hospital
1713,"Jeffrey L. Prebluda, MD",Anesthesiology,Massachusetts General Hospital
1714,"Jonathan Philip Winickoff, MD, MPH",Pediatrics,Massachusetts General Hospital
1715,"Jefferson Bruce Prince, MD","Psychiatry:, Child and Adolescent Psychiatry",Massachusetts General HospitalNorth Shore Medical Center
1716,"Adam S Weinstein, MD","Anesthesiology, Cardiac Anesthesiology",Brigham and Women's Hospital
1717,"Sheri Cheung, MD","Internal Medicine, Pediatrics",Cooley Dickinson Hospital
1718,"Randy Lyanne Gollub, MD, PhD",Psychiatry,Massachusetts General Hospital
1719,"Young-Min Kwon, PhD, MBBS",Orthopedic Surgery,Massachusetts General Hospital
1720,"Soumya Raychaudhuri, MD, PhD",Rheumatology,Brigham and Women's Hospital
1721,"Elise M Campagnolo, MD, PhD",Psychiatry,North Shore Medical Center
1722,"Douglas Maus, MD, PhD","Neurology:, Clinical Neurophysiology",Massachusetts General Hospital
1723,"Philip H. Thiehelm, MD",Pulmonary Critical Care,Cooley Dickinson Hospital
1724,"Michelle Louise O'Donoghue, MD",Cardiology,Brigham and Women's HospitalMassachusetts General Hospital
1725,"Shibani S. Mukerji, MD, PhD",Neurology,Massachusetts General Hospital
1726,"Dorit Koren, MD",Pediatric Endocrinology,Massachusetts General Hospital
1727,"Kerry Laing Kilbridge, MD",Medical Oncology,Brigham and Women's Hospital
1728,"Barbara Lynn Smith, MD, PhD","General Surgery, Surgical Oncology",Massachusetts General Hospital
1729,"Daniela J Lamas, MD","Critical Care Medicine, Pulmonary Critical Care, Pulmonology",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
1730,"Grace C Shih, MD","Ophthalmology:, Cornea and External Disease",Massachusetts General Hospital
1731,"Amit Narendra Anand, MD","Pulmonary Critical Care, Sleep Medicine",North Shore Medical Center
1732,"Rebecca Weintraub Brendel, MD",Psychiatry,Massachusetts General Hospital
1733,"Matthew J. Eagleton, MD",Vascular Surgery,Massachusetts General Hospital
1734,"Siobhan O'Neill, MD",Psychiatry,Massachusetts General Hospital
1735,"Raul Nirmal Uppot, MD",Diagnostic Radiology,Massachusetts General Hospital
1736,"Jennifer C Kesselheim, MD","Pediatric Hematology, Pediatric Medical Oncology, Pediatrics",Brigham and Women's Hospital
1737,"Maria J Troulis, DDS, MS",Oral and Maxillofacial Surgery,Massachusetts General Hospital
1738,"Christopher D. Anderson, MD",Neurology,Massachusetts General Hospital
1739,"Shun-How Lee, MD",Endocrinology,PCPO - Charles River Medical Associates
1740,"John Robert Goldman, MD",Obstetrics & Gynecology,Brigham and Women's Hospital
1741,"Juan C. Nunez Medina, MD","Geriatric Medicine, Internal Medicine",Massachusetts General Hospital
1742,"Timothy A Hartshorn, MD",Orthopedic Surgery,Newton-Wellesley Hospital
1743,"Richard J. Rubin, MD",Family Medicine,Cooley Dickinson Hospital
1744,"Thomas F. Heyne, MD","Internal Medicine, Pediatrics",Brigham and Women's HospitalMassachusetts General Hospital
1745,"Lea Borgi, MD","Internal Medicine, Nephrology",Brigham and Women's HospitalNorth Shore Medical Center
1746,"Jonathan Greene, MD",Cardiology,PCPO - Emerson Physician Hospital Organization
